Group,Size,Direction,x_youbot_transformed,y_youbot_transformed,theta,x_optitrack,y_optitrack,accuracy_error
Group2,Large,Straight,-198.8,46.17,-1.97,-215.159256,96.869041,53.27305149128606
Group2,Large,Straight,-198.8,46.17,-1.98,-215.058136,96.832314,53.2071146185272
Group2,Large,Straight,-198.8,46.17,-1.97,-215.110687,96.778961,53.17241243268439
Group2,Large,Straight,-198.8,46.17,-1.96,-215.091995,96.828369,53.213714875210364
Group2,Large,Straight,-198.8,46.17,-1.96,-215.111298,96.812447,53.20447237397072
Group2,Large,Straight,-198.8,46.17,-1.96,-215.062836,96.873444,53.24771420656507
Group2,Large,Straight,-198.8,46.17,-1.97,-215.111801,96.920578,53.307560619462656
Group2,Large,Straight,-198.8,46.17,-1.97,-215.283234,96.790527,53.23659227313938
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.87,-195.690506,90.261063,51.09636436779043
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-195.760529,90.154358,51.011248436320436
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.802353,90.23259,51.09762632691179
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.741226,90.173454,51.024723390854284
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.764404,90.159523,51.01723836354476
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.711823,90.145668,50.99030652221608
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.735626,90.113739,50.965581534129434
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.70343,90.157852,50.99992384836279
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-195.69754,90.336411,51.17100127291354
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.710083,90.161095,51.00476764544579
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.87,-195.70343,90.253082,51.09196282766619
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-195.71312,90.14566,50.990632321731404
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.87,-195.73526,90.182289,51.031724463191715
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.746689,90.141167,50.99493434846846
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.730804,90.233383,51.0799529648482
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.714325,90.098732,50.94559426028366
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.71756,90.149841,50.99581462570119
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.9,-195.749985,90.141129,50.99574745441884
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.709549,90.223938,51.065364691650295
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-196.426712,90.090141,51.125338578740234
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-196.442108,90.089806,51.12918204471198
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-196.462616,90.0839,51.12905314567692
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-196.444504,90.111053,51.15028437413446
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-196.465775,90.097916,51.14340065007097
Group1,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-196.516998,90.170021,51.22670108383365
Group1,Large,Right,-215.4,33.970000000000006,-0.95,-235.505035,85.539795,55.35030432340231
Group1,Large,Right,-215.4,33.970000000000006,-0.95,-235.440109,85.544388,55.33103529039037
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.421921,85.547668,55.32750813879533
Group1,Large,Right,-215.4,33.970000000000006,-0.95,-235.42717,85.565338,55.34588007741084
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.427673,85.580414,55.36011668201508
Group1,Large,Right,-215.4,33.970000000000006,-0.98,-235.459824,85.586624,55.377544294310766
Group1,Large,Right,-215.4,33.970000000000006,-0.98,-235.431259,85.604561,55.38392570762569
Group1,Large,Right,-215.4,33.970000000000006,-0.9900000000000002,-235.510544,85.600121,55.40851355568544
Group1,Large,Right,-215.4,33.970000000000006,-0.95,-235.505203,85.63028,55.434679735248835
Group1,Large,Right,-215.4,33.970000000000006,-0.94,-235.44957,85.664619,55.446540836557695
Group1,Large,Right,-215.4,33.970000000000006,-0.94,-235.460205,85.634064,55.42190301350288
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.495758,85.614044,55.41612373911134
Group1,Large,Right,-215.4,33.970000000000006,-0.95,-235.484695,85.655846,55.45107438074342
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.509918,85.653549,55.45807460778028
