x(cm),y(cm),orientation(degree)
47.03,0.30,0.00
45.87,0.25,-0.59
45.54,0.25,-2.36
47.01,0.25,-1.18
45.67,0.40,-1.19
45.94,-0.25,-1.18
47.61,-0.35,-0.59
47.50,-0.50,0.00
47.25,-0.40,0.60
46.52,-0.20,-0.60
46.71,0.25,-1.18
48.88,-0.55,1.21
48.61,-0.55,1.77
46.73,0.10,0.00
46.50,-0.40,-0.61
46.63,0.85,0.00
45.93,-0.50,0.60
46.84,-0.50,1.19
45.50,-0.65,1.21
47.81,0.30,0.00
46.32,0.70,0.58
48.14,-0.55,1.77
48.01,-0.35,-0.59
46.67,0.25,-2.36
47.06,0.30,0.00
